GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
example,edu.ucsb.cs156.example.services,CurrentUserService,0,10,0,2,0,2,0,3,0,2
example,edu.ucsb.cs156.example.services,SystemInfoService,0,3,0,0,0,1,0,1,0,1
example,edu.ucsb.cs156.example.services,SystemInfoServiceImpl,0,27,0,0,0,9,0,3,0,3
example,edu.ucsb.cs156.example.controllers,UserInfoController,0,6,0,0,0,2,0,2,0,2
example,edu.ucsb.cs156.example.controllers,ApiController,0,24,0,0,0,7,0,5,0,5
example,edu.ucsb.cs156.example.controllers,UCSBDatesController.UCSBDateOrError,0,6,0,0,0,3,0,1,0,1
example,edu.ucsb.cs156.example.controllers,TodosController,0,239,0,0,0,47,0,17,0,17
example,edu.ucsb.cs156.example.controllers,SystemInfoController,0,7,0,0,0,2,0,2,0,2
example,edu.ucsb.cs156.example.controllers,UsersController,0,16,0,0,0,4,0,2,0,2
example,edu.ucsb.cs156.example.controllers,UCSBDatesController,0,174,0,8,0,42,0,12,0,8
example,edu.ucsb.cs156.example.controllers,CSRFController,0,5,0,0,0,2,0,2,0,2
example,edu.ucsb.cs156.example.errors,EntityNotFoundException,0,17,0,0,0,3,0,1,0,1
